city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Thurber,Texas,32.507353,-98.417273,0.8,place,,,,,Thurber,TX,"Erath County",76463,US,"TIGER/Line® dataset from the US Census Bureau"
Dumas,Texas,35.9216,-101.92026,1,place,,,,,Dumas,TX,"Moore County",79029,US,"TIGER/Line® dataset from the US Census Bureau"
"Eagle Pass",Texas,28.781057,-100.312766,1,place,,,,,"Eagle Pass",TX,"Maverick County",78852,US,"TIGER/Line® dataset from the US Census Bureau"
Eden,Texas,31.174061,-99.876368,1,place,,,,,Eden,TX,"Concho County",76837,US,"TIGER/Line® dataset from the US Census Bureau"
"El Campo",Texas,29.19664,-96.26969,1,place,,,,,"El Campo",TX,"Wharton County",77437,US,"TIGER/Line® dataset from the US Census Bureau"
Wharton,Texas,29.323344,-96.091123,1,place,,,,,Wharton,TX,"Wharton County",77488,US,"TIGER/Line® dataset from the US Census Bureau"
"El Paso",Texas,31.763608,-106.484592,1,place,,,,,"El Paso",TX,"El Paso County",79901,US,"TIGER/Line® dataset from the US Census Bureau"
"Iowa Park",Texas,33.969067,-98.717032,1,place,,,,,"Iowa Park",TX,"Wichita County",76367,US,"TIGER/Line® dataset from the US Census Bureau"
Electra,Texas,34.02926,-98.91896,1,place,,,,,Electra,TX,"Wichita County",76360,US,"TIGER/Line® dataset from the US Census Bureau"
"Wichita Falls",Texas,33.905544,-98.479881,1,place,,,,,"Wichita Falls",TX,"Wichita County",76301,US,"TIGER/Line® dataset from the US Census Bureau"
Elkhart,Texas,31.64803,-95.555052,1,place,,,,,Elkhart,TX,"Anderson County",75839,US,"TIGER/Line® dataset from the US Census Bureau"
Frankston,Texas,31.992987,-95.499133,1,place,,,,,Frankston,TX,"Anderson County",75763,US,"TIGER/Line® dataset from the US Census Bureau"
Palestine,Texas,31.73452,-95.531381,1,place,,,,,Palestine,TX,"Anderson County",75801,US,"TIGER/Line® dataset from the US Census Bureau"
Ennis,Texas,32.333778,-96.63479,1,place,,,,,Ennis,TX,"Ellis County",75119,US,"TIGER/Line® dataset from the US Census Bureau"
Ferris,Texas,32.494337,-96.640443,1,place,,,,,Ferris,TX,"Ellis County",75125,US,"TIGER/Line® dataset from the US Census Bureau"
Italy,Texas,32.189616,-96.873872,1,place,,,,,Italy,TX,"Ellis County",76651,US,"TIGER/Line® dataset from the US Census Bureau"
Midlothian,Texas,32.431364,-96.978849,1,place,,,,,Midlothian,TX,"Ellis County",76065,US,"TIGER/Line® dataset from the US Census Bureau"
Milford,Texas,32.150961,-96.981584,1,place,,,,,Milford,TX,"Ellis County",76670,US,"TIGER/Line® dataset from the US Census Bureau"
Palmer,Texas,32.460524,-96.675575,1,place,,,,,Palmer,TX,"Ellis County",75152,US,"TIGER/Line® dataset from the US Census Bureau"
Waxahachie,Texas,32.376984,-96.843682,1,place,,,,,Waxahachie,TX,"Ellis County",75165,US,"TIGER/Line® dataset from the US Census Bureau"
Fairfield,Texas,31.767543,-96.138094,1,place,,,,,Fairfield,TX,"Freestone County",75840,US,"TIGER/Line® dataset from the US Census Bureau"
Teague,Texas,31.627713,-96.21236,1,place,,,,,Teague,TX,"Freestone County",75860,US,"TIGER/Line® dataset from the US Census Bureau"
Fayetteville,Texas,29.90578,-96.67275,1,place,,,,,Fayetteville,TX,"Fayette County",78940,US,"TIGER/Line® dataset from the US Census Bureau"
Flatonia,Texas,29.782749,-97.111371,1,place,,,,,Flatonia,TX,"Fayette County",78941,US,"TIGER/Line® dataset from the US Census Bureau"
"La Grange",Texas,29.896494,-96.872133,1,place,,,,,"La Grange",TX,"Fayette County",78945,US,"TIGER/Line® dataset from the US Census Bureau"
Schulenburg,Texas,29.714899,-96.93382,1,place,,,,,Schulenburg,TX,"Fayette County",78956,US,"TIGER/Line® dataset from the US Census Bureau"
Floresville,Texas,29.162771,-98.175887,1,place,,,,,Floresville,TX,"Wilson County",78114,US,"TIGER/Line® dataset from the US Census Bureau"
Floydada,Texas,34.015814,-101.381126,1,place,,,,,Floydada,TX,"Floyd County",79235,US,"TIGER/Line® dataset from the US Census Bureau"
